"id;mes;anio;pais;tipoProducto;pesoToneladas;montoMillonesDolares"
"472;Marzo;2020;Argentina;cosmeticos;53;2429.2774"
"473;Octubre;2021;Paraguay;frutas;133;4500.3087"
"474;Octubre;2023;Colombia;flores;54;4806.4667"
"475;Abril;2020;Colombia;flores;71;449.0077"
"476;Septiembre;2020;Brasil;cacao;8;1337.4559"
"477;Febrero;2022;Panama;cacao;177;564.0996"
"478;Febrero;2024;Guatemala;cosmeticos;16;3964.5425"
"479;Abril;2024;Panama;textiles;77;1456.4724"
"480;Octubre;2024;Costa Rica;cafe;17;3943.2858"
"481;Febrero;2020;Brasil;cafe;113;3373.8943"
"482;Octubre;2024;Canada;cosmeticos;146;4472.5191"
"483;Junio;2021;Uruguay;flores;39;2722.2245"
"484;Diciembre;2019;Cuba;frutas;162;3070.2492"
"485;Enero;2023;Republica Dominicana;flores;181;321.4816"
"486;Abril;2023;Puerto Rico;cacao;147;4170.5862"
"487;Enero;2023;Uruguay;pesca;62;3472.1926"
"488;Mayo;2019;Mexico;frutas;189;1054.6838"
"489;Noviembre;2020;Canada;pesca;191;3776.3805"
"490;Septiembre;2021;Bolivia;cacao;171;4710.3459"
"491;Agosto;2023;Chile;cafe;108;105.8012"
"492;Julio;2024;Chile;cacao;44;655.9527"
"493;Junio;2019;Peru;cacao;56;1443.2008"
"494;Febrero;2023;Nicaragua;cacao;45;542.9999"
"495;Abril;2022;Venezuela;cafe;22;612.5676"
"496;Agosto;2024;Panama;cacao;14;3221.9325"
"497;Septiembre;2019;Colombia;textiles;56;1976.9375"
"498;Julio;2024;El Salvador;cafe;15;749.0492"
"499;Febrero;2023;Puerto Rico;textiles;60;3647.8312"
"500;Julio;2021;Chile;flores;169;3313.7863"
